,adm1_area,cartodb_id,gid_1,iso,wdpa_area
0,11766575.1279008,1095,HKG.6_1,HKG,0.0
1,1357031752.62084,3550,XKO.2_1,XKO,0.0
2,140027345771.269,1460,KAZ.14_1,KAZ,3197268270.96615
3,241168972841.939,1249,IND.34_1,IND,2673624852.01063
4,58714819765.5288,409,CAF.1_1,CAF,44070947337.2877
5,1450597506.48794,391,BTN.19_1,BTN,769478532.752383
6,824440459.822677,189,BDI.14_1,BDI,0.0
7,153364547303.48,331,BRA.1_1,BRA,71097948612.9455
8,358061864143.955,342,BRA.11_1,BRA,19757694248.6011
9,908054874802.012,341,BRA.12_1,BRA,177397809578.957
10,11487871039.6128,636,CRI.6_1,CRI,2494590687.62887
11,802629363.750163,1752,MDA.20_1,MDA,3021.89815043096
12,204042988.983152,661,CYP.1_1,CYP,23531341.7422473
13,4878855007.49566,1149,HTI.3_1,HTI,0.0
14,5186486.0884246,3338,UMI.7_1,UMI,5186486.0884246
15,7260780561.67528,1430,JPN.31_1,JPN,1052502008.77903
16,125750652348.23,1284,IRN.7_1,IRN,8417902961.88644
17,18268251780.2058,1289,IRN.12_1,IRN,492056272.694077
18,10766610518.4312,1342,ITA.1_1,ITA,3934934742.80118
19,1670894111.62332,2284,PHL.4_1,PHL,260391676.824025
20,3004535578.12323,2282,PHL.2_1,PHL,227867600.52785
21,2852873015.25554,2321,PHL.41_1,PHL,70194331.3657595
22,43780722.7937642,2373,PLW.12_1,PLW,3652476.75747788
23,12928763444.9958,2533,PRY.6_1,PRY,288035605.607303
24,4174668825.78487,1694,LSO.7_1,LSO,3701314634.84773
25,22501385238.305,1788,MEX.13_1,MEX,1604805636.24514
26,692370075.814497,3098,TUN.3_1,TUN,21268438.810389
27,762483388.653492,2015,MWI.4_1,MWI,11136111.2169274
28,8785121268.18507,2019,MWI.8_1,MWI,930215256.88756
29,219635695898.862,3404,USA.45_1,USA,25557194176.1786
30,100425819976.979,2668,RUS.63_1,RUS,4432896449.36046
31,21836932119.1931,2889,SWE.17_1,SWE,1297173281.13169
32,41640063648.9151,2959,TCD.16_1,TCD,18502081241.9126
33,126368686892.779,2964,TCD.21_1,TCD,0.0
34,700860917.781596,1759,MDA.27_1,MDA,0.0
35,2969019576.75465,794,DZA.47_1,DZA,76712566.2710796
36,553158201.321893,1762,MDA.30_1,MDA,0.0
37,6829697.99614125,2010,MUS.11_1,MUS,0.0
38,191010390.593096,1999,MTQ.4_1,MTQ,187922693.452155
39,1504266818.6162,1240,IND.25_1,IND,0.0
40,1017180585.34248,1252,IRL.1_1,IRL,63120163.6190057
41,465619304.733655,1879,MKD.72_1,MKD,0.0
42,11557543649.7245,217,BFA.6_1,BFA,1893612890.55527
43,3757188571.37827,240,BGR.10_1,BGR,1546021376.41914
44,4324253205.43239,241,BGR.11_1,BGR,2124604325.86904
45,433760871.452954,3538,WSM.3_1,WSM,36114566.1619012
46,12211221.8103192,1717,MAC.2_1,MAC,0.0
47,2531728587540.97,156,AUS.11_1,AUS,
48,19182498832.1429,159,AUT.3_1,AUT,6078552949.24238
49,33012629954.0228,848,ERI.2_1,ERI,1805893930.91953
50,64540616327.4917,1723,MAR.6_1,MAR,25339144394.3354
51,95821669186.1294,1918,MMR.12_1,MMR,12176991446.2688
52,3987419611.4892,1136,HRV.11_1,HRV,886105120.319422
53,1061314818.86528,1760,MDA.28_1,MDA,0.0
54,105350876637.741,399,BWA.7_1,BWA,26009252761.3065
55,930329649.682466,1748,MDA.16_1,MDA,1022.09829535979
56,8387371.03954516,1376,JEY.1_1,JEY,957084.205969089
57,5094433805.6485,1792,MEX.17_1,MEX,905543570.822163
58,63084110238.1789,1799,MEX.24_1,MEX,5478394229.94213
59,559554030.335248,728,DOM.13_1,DOM,35244806.4955271
60,590837689067.279,343,BRA.13_1,BRA,34809276596.5763
61,3683641769.84302,1427,JPN.28_1,JPN,828348230.355861
62,1253846995285.33,344,BRA.14_1,BRA,
63,27260576.5621595,1062,GUM.2_1,GUM,13477600.5888436
64,53068320.9442832,1031,GRD.7_1,GRD,8913307.08143294
65,1941908.54866391,2366,PLW.5_1,PLW,0.0
66,2700279509.45931,2511,PRT.4_1,PRT,291350160.279576
67,7683849831.74435,1424,JPN.25_1,JPN,1277650195.07508
68,193629484286.007,1628,LBY.9_1,LBY,0.0
69,25036745971.0185,1298,IRN.21_1,IRN,2268885693.08438
70,19428705789.6906,1087,GUY.8_1,GUY,4119449918.80024
71,4889633476.11293,1256,IRL.5_1,IRL,961744600.221478
72,116380885.505085,2426,PRI.11_1,PRI,18436.1275192613
73,10021263377.369,1565,KOR.10_1,KOR,1002299667.31735
74,10301462533.5169,1713,LVA.3_1,LVA,3177041660.15856
75,854743374.824806,2505,PRK.12_1,PRK,203959.432740421
76,4206215123.06589,1426,JPN.27_1,JPN,1112746096.9932
77,60452458.930356,2441,PRI.26_1,PRI,122913.795667555
78,13904314001.5935,2506,PRK.13_1,PRK,1244145.04472563
79,29063583915.1694,2388,PNG.11_1,PNG,615543209.958223
80,377638978.721207,1859,MKD.52_1,MKD,304769143.42393
81,138626381.031977,1096,HKG.7_1,HKG,48221054.7930173
82,9718328891.33647,631,CRI.1_1,CRI,1686834992.39289
83,172073055.292684,2445,PRI.30_1,PRI,11173303.1176473
84,52650916.7333553,2460,PRI.45_1,PRI,9338288.22709203
85,71596673.9124623,2469,PRI.54_1,PRI,0.0
86,5098690130.8074,1953,MNG.11_1,MNG,28204193.1815001
87,2967641121.32809,1696,LSO.9_1,LSO,333026.565497524
88,175578283.11126,2416,PRI.1_1,PRI,15755048.9223572
89,855933759.316163,3029,THA.58_1,THA,0.0
90,22475042.5126094,1643,LCA.2_1,LCA,11331431.4018149
91,1645978871.37507,3218,TZA.2_1,TZA,37567669.6072535
92,6185132191.27346,1517,KHM.1_1,KHM,635889247.371843
93,28157874122.3741,3243,TZA.27_1,TZA,5823634791.55026
94,50105028.1432515,1068,GUM.8_1,GUM,3346243.41465125
95,3220462328.61672,2622,RUS.17_1,RUS,646942657.204012
96,25723268114.3832,3126,TUR.7_1,TUR,0.0
97,12008694285.2871,1527,KHM.11_1,KHM,1207586899.38577
98,292273799.90004,1881,MKD.74_1,MKD,2359.94877031884
99,2881026654.79526,1665,LKA.3_1,LKA,614959408.638708
100,55353589904.3895,2711,SDN.5_1,SDN,0.0
101,71475610120.6397,1778,MEX.2_1,MEX,23168311564.9818
102,45778716401.4433,2712,SDN.6_1,SDN,0.0
103,90771363294.7962,1302,IRN.25_1,IRN,20099188374.8177
104,685843472.962691,1556,KOR.1_1,KOR,97797609.3226172
105,10107795997.9158,1563,KOR.8_1,KOR,899909419.271577
106,16612156277.367,1584,LAO.6_1,LAO,6912609253.93081
107,80565352.5377042,2417,PRI.2_1,PRI,0.0
108,5895036007.401,2692,RWA.4_1,RWA,674901551.553351
109,8047085490.31515,1558,KOR.3_1,KOR,459964193.723908
110,1264244449.35011,2818,SRB.13_1,SRB,346938.245660734
111,39815239.6767201,2423,PRI.8_1,PRI,0.0
112,69394554.2215141,2455,PRI.40_1,PRI,95776.7191074131
113,1168668840.08277,1864,MKD.57_1,MKD,15424655.2653409
114,12366166.8503434,3337,UMI.6_1,UMI,12405926.2451094
115,77617201312.9798,2948,TCD.5_1,TCD,13200296656.1079
116,473937253.536794,1875,MKD.68_1,MKD,153332242.367939
117,5683863706.78899,2877,SWE.5_1,SWE,310942772.651669
