cartodb_id,gid_2,adm2_area,wdpa_area
23852,MEX.31.93_1,172459560.745537,39173767.4121841
1887,AUT.6.8_1,3319101189.60194,2541044689.38011
23854,MEX.31.95_1,121811199.511168,2105261.80407618
34974,RUS.59.7_1,1120527715.13213,0.0
34827,RUS.55.31_1,4633482954.24727,298344981.596354
3603,BRA.6.179_1,327750447.645238,0.0
3291,BRA.5.283_1,219474897.842321,0.0
2817,BRA.1.8_1,24263419305.7255,9679437959.08787
2818,BRA.1.9_1,5442971532.901,3087567558.4781
25331,NGA.7.1_1,1046860312.97389,7151775.13334168
27811,PHL.18.9_1,513729557.74812,0.0
34840,RUS.55.44_1,6286237445.43828,296480670.574345
9911,COL.2.33_1,676578433.238784,1528419.18168039
19758,JPN.27.9_1,140070834.251965,13777733.6435425
19821,JPN.29.10_1,478189826.56768,63543477.3004228
19978,JPN.34.3_1,259246501.49433,16091109.0124341
20585,KEN.1.1_1,174612867.262104,0.0
23305,MEX.23.8_1,13315107736.7786,2462721364.2417
5334,BRA.14.130_1,4014548507.51368,2920779679.32368
5228,BRA.14.24_1,2115624263.654,326070634.549519
5211,BRA.14.7_1,73305232411.9004,57752904264.2463
5212,BRA.14.8_1,160372726498.262,143462873295.817
5286,BRA.14.82_1,28145013824.777,20910876009.0126
35140,RUS.63.48_1,3603592671.48807,365343685.590315
38801,TUR.1.6_1,452044024.81919,77344407.3460808
8992,CHE.11.1_1,296550547.737595,3619489.47817793
12505,DZA.18.21_1,1613146665.45649,0.0
12624,DZA.24.5_1,935701286.976309,0.0
14444,FIN.5.8_1,13893797917.7921,335627987.986856
550,ARE.2.19_1,3150443.01318454,0.0
334,AGO.2.1_1,6884415140.21429,215168746.06297
1416,AUS.6.17_1,49879441337.2336,35340587135.0483
36469,SRB.3.6_1,36156213.4003204,209550.140796354
15692,HND.1.3_1,486189727.71956,139238909.400793
15696,HND.1.7_1,287021347.04002,148612822.448212
15704,HND.2.7_1,496667304.914511,91136089.4777988
16399,HRV.16.42_1,61467987.3740625,8792284.73451287
16408,HRV.16.51_1,54014744.1114695,54286655.3708259
16039,HRV.3.1_1,93727263.3871809,11506314.8301565
1279,AUS.5.33_1,10441134785.9713,2276110471.62857
17674,IND.22.7_1,519526082.38307,0.0
24057,MMR.6.2_1,17444301496.4317,123683690.888583
24059,MMR.7.1_1,9991137102.50357,0.0
24069,MMR.9.1_1,6227573749.247,360535.831987698
24070,MMR.9.2_1,5360580533.6346,404228767.852479
14305,EST.13.22_1,267811235.816422,268109156.262552
6280,BRA.18.128_1,1377950166.50388,1296593791.88343
3011,BRA.5.3_1,269003618.034705,0.0
16328,HRV.14.9_1,24669473.5109048,12363327.4961402
28961,PHL.72.2_1,33703462.3479788,27551273.7513299
10955,CRI.2.5_1,43512612.4753995,7640570.77328087
27102,NZL.9.1_1,423909492.765666,67714109.7476145
27208,PAK.5.6_1,27290468813.828,752195768.398793
5271,BRA.14.67_1,787578093.034934,267196554.845831
1289,AUS.5.43_1,143182918.864084,4235084.15990531
1290,AUS.5.44_1,3427984893.94715,504772269.237896
1291,AUS.5.45_1,2251442338.32948,400191253.02366
10159,COL.6.91_1,56357467.4891209,0.0
23857,MEX.31.98_1,532525705.246433,41107718.1479096
16049,HRV.3.11_1,105305830.669033,37159265.8205455
16051,HRV.3.13_1,132176546.985787,131457924.803098
16052,HRV.3.14_1,145342650.361592,78442575.4192813
16040,HRV.3.2_1,245177859.835706,51311900.0284329
17238,IDN.32.18_1,2512441720.55513,86977205.221611
17239,IDN.32.19_1,1207889969.99743,1459109.29803624
17236,IDN.32.20_1,843702868.850678,0.0
17241,IDN.32.21_1,3974677737.5969,53298978.6415121
17240,IDN.32.22_1,3831149709.42357,309655586.747241
29387,POL.7.18_1,613545273.179808,476497786.127881
8079,BRA.25.622_1,210188096.399605,0.0
27133,NZL.17.10_1,3532634172.06216,581294460.720274
23106,MEX.21.40_1,128868375.619565,0.0
11721,DNK.1.25_1,89062582.7858854,20546738.5802062
1707,AUS.11.36_1,7235198648.36403,557709096.766918
11145,CUB.13.5_1,773312323.651244,136460247.572055
11176,CUB.16.5_1,727886470.246503,31817340.9744396
11095,CUB.7.10_1,1358525988.01047,116451929.096578
21160,KOR.5.3_1,54654327.3967476,3531979.38438202
21009,KHM.10.1_1,150402956.36686,46350550.8319587
21010,KHM.11.1_1,869044709.02203,0.0
21026,KHM.15.2_1,1241810966.52621,358256852.786963
21027,KHM.15.3_1,816859529.205048,0.0
21028,KHM.15.4_1,1426706614.31214,14281119.9470953
20937,KHM.1.8_1,1101791547.04686,454220284.466113
11562,DEU.10.37_1,1242134173.42784,710352711.588657
20683,KEN.15.3_1,550486650.574497,0.0
20685,KEN.16.1_1,241645195.339213,0.0
24071,MMR.10.1_1,138777709.225147,0.0
21484,LBN.4.1_1,548552615.26326,0.0
21491,LBN.5.5_1,265275768.075697,0.0
13955,EGY.22.3_1,4500878643.48778,1818661924.69302
9635,COD.6.8_1,5070712292.91353,10340172.6148067
17447,IND.11.33_1,3022561268.31225,0.0
1727,AUS.11.56_1,1728685002.4925,60632751.9468186
15025,GIN.4.3_1,15866255897.4061,9778650868.53113
15042,GIN.8.2_1,4254221138.00676,33802149.1352131
15085,GMB.2.5_1,101481683.721741,0.0
10452,COL.14.93_1,215928673.631017,168818562.734319
28695,PHL.58.8_1,76395388.2767058,70318742.3570677
1608,AUS.10.17_1,4404843819.22599,433948786.990564
1669,AUS.10.78_1,19533442.4108574,0.0
1671,AUS.10.80_1,7324716657.10018,612887050.097211
1672,AUS.11.1_1,4310386899.79652,388449496.860668
1755,AUS.11.84_1,10196925348.4712,3017852874.21276
1508,AUS.8.18_1,3270181976.52914,765364286.574878
1578,AUS.9.17_1,1154361660.17115,298202204.127947
1768,AUS.11.97_1,12637589563.4422,2597747826.86076
1896,AUT.7.4_1,1162252250.08872,141307382.606043
3437,BRA.6.13_1,1236667137.76953,187214.292703056
15663,GUY.7.5_1,575159503.554825,0.0
15829,HND.9.3_1,681959465.588489,656323760.846238
24054,MMR.5.1_1,5316869426.63475,15796057.1217703
12466,DZA.17.4_1,2016724514.88636,0.0
3289,BRA.5.281_1,1325356637.53539,56283814.1879283
16294,HRV.13.17_1,103228669.42098,95639000.0548968
17242,IDN.32.23_1,135327412.317737,0.0
17243,IDN.32.24_1,1327832580.57361,58958382.8498454
17891,IND.34.51_1,2841803068.76593,0.0
26010,NIC.4.2_1,44252346.1260487,0.0
27362,PER.6.5_1,2069754444.91163,0.0
27135,NZL.18.2_1,730415701.49864,349042398.880304
27136,NZL.18.3_1,375890780.12406,69147909.6076699
30040,PRT.16.15_1,272557399.262595,33362017.2745492
30041,PRT.16.16_1,243714065.897951,0.0
18484,ITA.10.3_1,1270277475.61217,95199727.2881919
18496,ITA.11.3_1,855555706.403332,82420025.322219
18545,ITA.20.5_1,2085181604.54582,219253513.22259
9526,CMR.1.2_1,10490294573.887,837028884.680909
5845,BRA.16.276_1,357999984.50437,0.0
27838,PHL.19.7_1,148941668.6726,0.0
39867,TZA.19.1_1,226706960.948104,6557573.83794415
36401,SOM.6.4_1,10384528448.8042,0.0
21647,LKA.5.5_1,91792479.0455126,2487775.02963622
37630,THA.10.12_1,3367805424.83022,985213934.018223
29184,PNG.8.2_1,27726024568.1362,1327067351.60632
41233,USA.7.1_1,1684504781.26991,68399240.5146246
37623,THA.10.5_1,973780725.596462,296945424.147186
20322,JPN.44.24_1,202082664.964159,42314856.1250974
30291,PRY.16.2_1,2396406050.88983,452646603.596547
34829,RUS.55.33_1,3314604932.85716,0.0
42276,USA.24.33_1,1381390737.37172,43417740.9954575
3237,BRA.5.229_1,425415420.881921,0.0
20100,JPN.37.8_1,535853636.530782,62767569.178752
27139,NZL.18.6_1,2454367952.9376,606476430.139231
34418,RUS.42.25_1,2256915588.21492,67980501.337297
41471,USA.12.1_1,10488367197.9419,2295439908.69581
41475,USA.12.5_1,3024139932.14308,434104924.866147
27141,NZL.18.8_1,289569960.901119,2341747.00997656
41810,USA.16.95_1,1051790331.30569,41714084.689639
20123,JPN.38.9_1,1502768122.93187,412599682.682265
27142,NZL.19.1_1,7934537233.44457,6853782324.73204
27177,OMN.8.3_1,1245524412.02472,175213356.562887
27178,OMN.9.1_1,80417749.9751069,0.0
42307,USA.24.64_1,1119562469.94814,13200834.4932689
12438,DZA.16.12_1,341945095.17084,0.0
11744,DNK.2.18_1,694297236.301132,195002603.915764
658,ARE.6.10_1,36795879.6207916,0.0
43650,USA.44.196_1,1982716815.08388,30863465.3924774
43659,USA.44.205_1,1832745815.48572,4770698.05927295
34392,RUS.41.15_1,2016016254.12307,166721453.364194
20728,KEN.23.2_1,2321782724.23037,1046880112.2957
34950,RUS.58.43_1,169729174.517551,0.0
34936,RUS.58.29_1,2218996303.31101,14482172.5022173
34930,RUS.58.23_1,1314308503.27196,0.0
12440,DZA.16.14_1,528586720.924013,0.0
11760,DNK.4.4_1,578745733.262655,56045154.028669
17188,IDN.30.4_1,3021460763.2367,65044294.9612513
17541,IND.16.15_1,4647279227.06995,0.0
21600,LKA.2.7_1,363985256.516377,54461814.9313613
21601,LKA.2.8_1,645300009.403418,362701853.203011
22085,MEX.4.1_1,1918615337.76296,836645711.056159
12443,DZA.16.17_1,356976494.498427,0.0
34851,RUS.56.5_1,2039403208.92061,0.0
22465,MEX.12.50_1,2468770772.16016,0.0
9538,CMR.2.9_1,6178825632.0004,0.0
9541,CMR.3.2_1,36232372199.9791,8656351627.31851
16264,HRV.11.42_1,109145907.73468,33219537.5148254
31848,ROU.23.18_1,72128917.1748876,11720920.0160801
31857,ROU.23.27_1,124446896.316471,2042885.30978921
8702,CAN.4.1_1,1833387499.53152,274212523.194823
12432,DZA.16.6_1,1052720631.57211,0.0
5411,BRA.15.63_1,381019784.661089,0.0
23892,MEX.32.27_1,2006246339.60627,0.0
35864,SEN.2.1_1,1358578350.95892,0.0
35873,SEN.4.4_1,3173113095.36966,1134332461.80094
33852,RUS.21.5_1,218305.544785832,0.0
34031,RUS.30.8_1,13065580.2617147,0.0
34496,RUS.44.68_1,9877950.10653461,0.0
35958,SLB.3.17_1,336794413.274206,0.0
37082,SWE.10.9_1,20696535289.1617,5969213646.56931
37001,SWE.1.4_1,835867135.254874,46051493.8257905
36438,SOM.15.5_1,3269980110.82698,0.0
12474,DZA.17.12_1,1022315331.46076,0.0
37322,SWZ.3.10_1,11586631.4811217,0.0
37447,TCD.18.3_1,29956043212.5411,10654947539.5715
37453,TCD.21.1_1,126368750044.116,0.0
38883,TUR.8.2_1,1563474990.13666,0.0
39899,TZA.24.7_1,9057855495.12136,2123611867.16246
971,ARG.8.13_1,5197391076.11204,5960051.06106428
25853,NGA.31.9_1,23510434.0702653,0.0
40677,UKR.26.6_1,1633089115.52537,241817326.818861
25850,NGA.31.6_1,26458906.9417148,0.0
44482,VEN.20.8_1,574253175.470756,0.0
44539,VEN.23.1_1,999410857.025237,335206277.743207
44563,VEN.25.10_1,1822420198.70932,78348079.1755739
44568,VEN.25.15_1,1976910095.49476,461812075.934874
44573,VEN.25.20_1,742399967.340528,79414027.9807273
39906,TZA.26.1_1,7095239814.1879,292934528.649317
39908,TZA.26.3_1,7898427126.69412,1251865708.43575
39932,UGA.2.3_1,1823956735.9684,66895244.9812431
30021,PRT.15.14_1,136247070.418038,0.0
30022,PRT.15.15_1,71776838.5334933,0.0
30047,PRT.17.1_1,1443067276.96044,602862101.551747
30048,PRT.17.2_1,94581905.2530606,35827186.6508387
33828,RUS.19.21_1,1585670.29545132,0.0
200,AFG.19.5_1,760618572.810136,0.0
690,ARE.6.42_1,1416932.11076272,0.0
30104,PRT.20.21_1,370773913.470697,0.0
27771,PHL.16.15_1,351506739.769884,1666845.26528029
693,ARE.6.45_1,2067207.52876151,0.0
12475,DZA.17.13_1,3068130215.0277,0.0
694,ARE.6.46_1,480279.650258638,0.0
633,ARE.5.46_1,1589114.40421446,0.0
1049,ARG.13.9_1,4853535051.27384,2819547145.99062
645,ARE.5.58_1,855262265.358905,3580710.61497061
35365,RUS.69.15_1,2711172.22928142,0.0
12459,DZA.16.33_1,377906465.953107,0.0
1367,AUS.5.121_1,343321903.970598,170736004.031069
1248,AUS.5.2_1,4235140815.8721,889992720.638702
1421,AUS.7.5_1,61952789679.729,1309787609.31311
1422,AUS.7.6_1,30453701723.6443,1163599099.88834
44256,VEN.2.13_1,24857745.0515721,24857745.0515721
1843,AUT.3.13_1,1260395535.49547,129422854.905024
1646,AUS.10.55_1,5478009023.44079,121551914.265239
8920,CAN.12.15_1,17970627750.4581,275594282.87051
1777,AUS.11.106_1,9833177077.16924,1951594320.06469
1778,AUS.11.107_1,257076487.907521,9615877.38370868
1834,AUT.3.4_1,1254253328.12498,403376518.128861
1835,AUT.3.5_1,786903563.660423,323074614.035973
1836,AUT.3.6_1,988863034.046149,187497397.311386
1839,AUT.3.9_1,923574383.093034,525825360.573456
3650,BRA.8.41_1,274528551.758973,0.0
36427,SOM.13.1_1,12907101316.0321,0.0
35114,RUS.63.22_1,1571291.84571051,0.0
3347,BRA.5.339_1,1556894479.0488,225806240.930619
34862,RUS.56.16_1,21505272442.9343,7365615136.96597
7779,BRA.25.322_1,229349585.122257,0.0
15830,HND.9.4_1,7492832328.9312,2649368803.69603
15831,HND.9.5_1,631172942.902463,572531427.269842
16564,HTI.7.3_1,360803428.814463,8374971.49813826
16565,HTI.7.4_1,247774269.423462,0.0
16566,HTI.7.5_1,172148389.234738,0.0
3673,BRA.8.64_1,696093739.357811,43441596.1564446
8926,CHE.1.2_1,151985435.523011,1445195.9415042
2313,BGD.7.2_1,2678797586.95374,28548860.6503967
33749,RUS.16.4_1,19101437928.6495,7537880377.72397
2798,BOL.8.7_1,94639988873.3466,38042546406.7355
2800,BOL.8.9_1,65121120305.0728,19161567391.3059
2807,BOL.9.4_1,4073861745.288,488979019.673398
41266,USA.10.22_1,1506175252.04421,224027077.241662
34442,RUS.44.14_1,1266770292.53468,29749704.601692
36010,SLB.6.19_1,354640191.43312,0.0
37036,SWE.6.2_1,6127798165.43606,392184483.716603
10456,COL.14.97_1,65273271.2064725,54595.1146610697
22870,MEX.16.50_1,219063585.050989,0.0
36437,SOM.15.4_1,935788153.326451,0.0
37482,THA.1.4_1,917557318.367732,0.0
38889,TUR.8.8_1,394929529.267223,0.0
700,ARE.6.52_1,1230572.58590556,0.0
37948,THA.33.12_1,278449158.644809,55480518.6159019
37961,THA.35.6_1,801034141.270817,0.0
37963,THA.35.8_1,152211285.394451,0.0
38012,THA.41.3_1,540220961.838547,157910000.379622
39030,TUR.22.11_1,925286005.269177,0.0
19935,JPN.33.3_1,9111746.01532788,0.0
38930,TUR.12.3_1,658570052.945845,150649438.589234
34057,RUS.31.12_1,2562081.24944785,0.0
39275,TUR.41.14_1,420446118.703335,0.0
7975,BRA.25.518_1,182758627.787335,0.0
39813,TZA.11.3_1,3690563154.99343,59666741.5274946
39814,TZA.11.4_1,13188142765.2822,6809503028.77802
39816,TZA.11.6_1,3816118091.12256,238533322.237973
40319,UKR.9.15_1,1000568986.91862,1034870.80179197
41015,USA.2.21_1,33577864751.1292,25958644003.4024
41016,USA.2.22_1,67384623830.329,11938813237.801
41017,USA.2.23_1,96536596999.6225,53173938827.0615
41018,USA.2.24_1,46076510569.396,41727963889.291
41255,USA.10.11_1,5343367702.43138,934628576.149954
41247,USA.10.3_1,2008085254.46976,10675990.6047794
41960,USA.18.41_1,676101338.130503,4473818.3497751
42051,USA.19.12_1,4288502618.05761,1008726850.37613
42106,USA.20.3_1,2398672845.05227,94826412.3163985
42135,USA.21.16_1,1258650029.90373,94308420.7125495
42136,USA.21.17_1,1009852613.7514,32108339.7657947
42333,USA.25.2_1,1037112127.51375,10639997.3257947
42602,USA.28.19_1,1089713657.77261,2319931.86367079
43269,USA.41.22_1,2280887137.77717,489423701.307205
43273,USA.41.26_1,2971904388.70883,230116866.541803
43274,USA.41.27_1,1719409348.45183,125350803.814085
673,ARE.6.25_1,168160.576488389,0.0
43632,USA.44.178_1,2207956778.48131,23445577.4513913
43928,USA.49.5_1,235881868.052405,9662392.0040742
8034,BRA.25.577_1,127056685.292226,0.0
8744,CAN.7.15_1,1298778596.8655,55774136.61638
361,AGO.5.6_1,44092554142.5112,3816200899.36231
342,AGO.2.9_1,3585502369.03347,0.0
426,AGO.11.7_1,322361433.058081,0.0
428,AGO.11.9_1,1404942641.34582,0.0
462,AGO.15.7_1,43113169055.3034,0.0
467,AGO.16.3_1,8650682124.84464,1750581994.60404
468,AGO.16.4_1,18099595079.1012,15997726366.0085
488,AGO.18.3_1,8775724380.88144,0.0
578,ARE.3.3_1,218540514.01355,987384.248017536
508,ALB.6.2_1,921980461.890482,306668289.948906
1341,AUS.5.95_1,3407151402.88992,1452715484.75725
2599,BLR.1.3_1,1826557188.54318,240682402.250199
2855,BRA.2.24_1,975442208.049719,6941577.9682554
9006,CHE.14.1_1,264713407.279119,32079231.8563117
9007,CHE.15.1_1,481921718.378103,65422453.8638528
9008,CHE.16.1_1,140962706.142436,2539546.14779554
974,ARG.8.16_1,6660358971.12384,4165765441.47299
2811,BRA.1.2_1,2907795772.18372,2613814629.35441
2812,BRA.1.3_1,4389782224.63842,2049198303.52461
957,ARG.7.24_1,7368746920.66026,658067000.6723
1351,AUS.5.105_1,5958786297.85467,190139573.372325
1352,AUS.5.106_1,61384695.5830192,0.0
945,ARG.7.12_1,9272150539.11306,6241169159.93564
3145,BRA.5.137_1,229503771.073637,1317752.20071187
24049,MMR.3.1_1,20377548995.9169,1224185659.02353
3321,BRA.5.313_1,1668216656.01995,455514438.314726
3343,BRA.5.335_1,59125538.9749748,3429743.88657501
3157,BRA.5.149_1,218771864.195308,5144008.8671824
5738,BRA.16.169_1,205234875.771359,18880171.520049
1744,AUS.11.73_1,174326598.31835,52042078.9175453
3828,BRA.9.141_1,8921977845.90294,1153208623.59096
33308,RUS.1.4_1,3316516.56456256,0.0
1904,AUT.8.3_1,831847265.794176,92456633.8780811
1828,AUT.2.7_1,980669780.838484,71867536.3958259
3993,BRA.10.64_1,947097891.163764,947046656.35745
35631,RUS.78.23_1,11673389.9307927,0.0
3980,BRA.10.51_1,1266291231.47837,812005260.861201
3982,BRA.10.53_1,270977919.202373,270977913.542375
9229,CHN.8.5_1,30345896786.5756,103391974.458257
5492,BRA.15.144_1,64930740.8915218,0.0
2010,BDI.3.5_1,420409711.92004,6346748.4671599
4140,BRA.10.211_1,593457958.959897,326711734.786354
2016,BDI.3.11_1,140480173.921139,9929333.58693504
2339,BGR.2.10_1,523981702.974157,176035800.683132
8930,CHE.1.6_1,143318314.235078,1427247.0965488
9237,CHN.10.1_1,22280964982.8532,0.0
2359,BGR.6.4_1,761407369.251892,699893240.438795
2808,BOL.9.5_1,17571129599.1911,2724324563.57656
9234,CHN.9.1_1,2255533811.84765,0.0
9235,CHN.9.2_1,30017626798.6141,0.0
9713,COD.15.1_1,24882735932.0512,0.0
9717,COD.15.5_1,18420519067.8734,3230990685.8714
9475,CHN.30.11_1,44175483647.0707,0.0
9476,CHN.30.12_1,28899782257.8824,16789850.7586963
34454,RUS.44.26_1,217310212.692961,0.0
9010,CHE.16.3_1,158838575.211881,1156475.51563666
23437,MEX.26.55_1,8620000956.97312,5289215179.76531
9753,COD.19.5_1,4335470631.26247,395382426.622411
2941,BRA.3.9_1,22948685765.2847,21941031219.2966
2720,BOL.1.6_1,7799469717.02165,0.0
2721,BOL.1.7_1,3640816130.64423,73864812.1982366
33592,RUS.9.17_1,6552333.99568578,6552333.99568578
2827,BRA.1.18_1,6027859486.51248,4113635147.75585
9013,CHE.16.6_1,490224976.872823,9656485.99447545
9011,CHE.16.4_1,526317422.032222,155759555.424639
9012,CHE.16.5_1,269259603.141309,8467314.70745962
9490,CHN.31.10_1,11412773843.395,0.0
2990,BRA.4.42_1,37935044880.7976,31014598969.6819
2991,BRA.4.43_1,41365786632.1704,26500397201.3702
2993,BRA.4.45_1,43450301262.754,14328585014.6162
33844,RUS.20.9_1,36870556.9670305,2609604.41295436
16820,IDN.6.7_1,4382021418.33003,401385992.667147
16821,IDN.7.1_1,125685267.081742,0.0
16822,IDN.7.2_1,48090930.1779648,0.0
5270,BRA.14.66_1,785002548.65115,312443882.126851
33427,RUS.4.20_1,21007378322.7893,1713547110.64564
33409,RUS.4.2_1,15463471809.4439,15463471809.4439
3933,BRA.10.4_1,1427446682.76789,1427436115.08302
4004,BRA.10.75_1,759414970.709386,556342374.227741
3943,BRA.10.14_1,590934627.62475,590857176.537023
6613,BRA.20.150_1,158523653.03313,0.0
9355,CHN.18.13_1,18109457975.9023,0.0
21250,KOR.10.13_1,287177353.654121,2967784.47808107
4014,BRA.10.85_1,487916389.772084,487916393.341128
4065,BRA.10.136_1,974328374.976794,399901188.943116
9230,CHN.8.6_1,26098612627.6626,192061873.831406
6073,BRA.17.103_1,57651247.5615628,0.0
4229,BRA.12.82_1,24273421722.3778,4302833669.24499
9363,CHN.19.8_1,59149413947.4149,0.0
12605,DZA.23.14_1,139494612.949537,0.0
9376,CHN.21.4_1,13024487662.1604,0.0
9400,CHN.23.10_1,10944218439.7892,0.0
6970,BRA.21.339_1,86423885.7490477,0.0
9425,CHN.26.6_1,6357540817.30073,0.0
16824,IDN.7.4_1,185491475.159087,0.0
16825,IDN.7.5_1,140747282.455915,1216575.91564549
4332,BRA.11.59_1,5324318226.25818,264598686.600891
9736,COD.17.6_1,22552052425.7381,0.0
